29.4806 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
34.5381 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000285E4D1BBB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000285E4D1BB20>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000285E4D1B970>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000285E518B3D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
34.5383 	EXP 	window1: mouseVisible = True
34.5383 	EXP 	window1: backgroundImage = ''
34.5384 	EXP 	window1: backgroundFit = 'none'
34.5446 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
34.5447 	EXP 	window1: recordFrameIntervals = False
34.7041 	EXP 	window1: recordFrameIntervals = True
34.8881 	EXP 	Screen (0) actual frame rate measured at 59.89Hz
34.8881 	EXP 	window1: recordFrameIntervals = False
34.8883 	EXP 	window1: mouseVisible = False
46.9592 	EXP 	untitled: status = STARTED
46.9648 	EXP 	window1: mouseVisible = True
47.2830 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
47.3017 	EXP 	window1: mouseVisible = True
47.3030 	EXP 	window1: mouseVisible = True
47.3295 	EXP 	window1: mouseVisible = True
47.3300 	EXP 	window1: mouseVisible = True
47.3322 	EXP 	window1: mouseVisible = True
47.3344 	EXP 	window1: mouseVisible = True
47.3994 	EXP 	window1: mouseVisible = True
47.3998 	EXP 	window1: mouseVisible = True
47.4006 	EXP 	window1: mouseVisible = True
47.4016 	EXP 	window1: mouseVisible = True
47.4699 	EXP 	window1: mouseVisible = True
47.4701 	EXP 	window1: mouseVisible = True
47.4708 	EXP 	window1: mouseVisible = True
47.4715 	EXP 	window1: mouseVisible = True
47.4918 	EXP 	window1: mouseVisible = True
47.4920 	EXP 	window1: mouseVisible = True
47.4927 	EXP 	window1: mouseVisible = True
47.4934 	EXP 	window1: mouseVisible = True
47.5156 	EXP 	window1: mouseVisible = True
47.5159 	EXP 	window1: mouseVisible = True
47.5173 	EXP 	window1: mouseVisible = True
47.5185 	EXP 	window1: mouseVisible = True
47.5399 	EXP 	window1: mouseVisible = True
47.5401 	EXP 	window1: mouseVisible = True
47.5408 	EXP 	window1: mouseVisible = True
47.5415 	EXP 	window1: mouseVisible = True
47.5680 	EXP 	window1: mouseVisible = True
47.5682 	EXP 	window1: mouseVisible = True
47.5690 	EXP 	window1: mouseVisible = True
47.5696 	EXP 	window1: mouseVisible = True
47.5908 	EXP 	window1: mouseVisible = True
47.5910 	EXP 	window1: mouseVisible = True
47.5917 	EXP 	window1: mouseVisible = True
47.5924 	EXP 	window1: mouseVisible = True
47.6140 	EXP 	window1: mouseVisible = True
47.6142 	EXP 	window1: mouseVisible = True
47.6152 	EXP 	window1: mouseVisible = True
47.6159 	EXP 	window1: mouseVisible = True
47.6381 	EXP 	window1: mouseVisible = True
47.6383 	EXP 	window1: mouseVisible = True
